%time,field.header.seq,field.header.stamp,field.header.frame_id,field.drive.steering_angle,field.drive.steering_angle_velocity,field.drive.speed,field.drive.acceleration,field.drive.jerk
1.74258827780432E+018,32062,0,,0.0669942647219,0,0.890657007694,0,0
1.74258827782917E+018,32063,0,,0,0,0.890657007694,0,0
1.74258827785655E+018,32064,0,,0,0,0.890657007694,0,0
1.74258827787772E+018,32065,0,,0,0,0.890657007694,0,0
1.74258827790589E+018,32066,0,,0,0,0.890657007694,0,0
1.74258827792726E+018,32067,0,,0,0,0.890657007694,0,0
1.74258827795175E+018,32068,0,,0,0,0.890657007694,0,0
1.74258827797862E+018,32069,0,,0,0,0.890657007694,0,0
1.74258827800468E+018,32070,0,,0,0,0.890657007694,0,0
1.74258827802712E+018,32071,0,,0,0,0.890657007694,0,0
1.74258827805732E+018,32072,0,,0,0,0.890657007694,0,0
1.74258827807741E+018,32073,0,,0,0,0.890657007694,0,0
1.74258827810768E+018,32074,0,,0,0,0.890657007694,0,0
1.74258827812785E+018,32075,0,,0,0,0.890657007694,0,0
1.74258827815215E+018,32076,0,,0,0,0.890657007694,0,0
1.74258827817735E+018,32077,0,,0,0,0.890657007694,0,0
1.74258827820621E+018,32078,0,,0,0,0.890657007694,0,0
1.74258827822981E+018,32079,0,,0,0,0.890657007694,0,0
1.74258827825865E+018,32080,0,,0,0,0.890657007694,0,0
1.74258827828363E+018,32081,0,,0,0,0.890657007694,0,0
1.74258827830414E+018,32082,0,,0,0,0.890657007694,0,0
1.7425882783276E+018,32083,0,,0,0,0.890657007694,0,0
1.74258827835242E+018,32084,0,,0,0,0.890657007694,0,0
1.7425882783784E+018,32085,0,,0,0,0.890657007694,0,0
1.7425882784062E+018,32086,0,,0,0,0.890657007694,0,0
1.74258827842673E+018,32087,0,,0,0,0.890657007694,0,0
1.74258827845169E+018,32088,0,,0,0,0.890657007694,0,0
1.74258827847721E+018,32089,0,,0,0,0.890657007694,0,0
1.7425882785074E+018,32090,0,,0,0,0.890657007694,0,0
1.74258827852803E+018,32091,0,,0,0,0.890657007694,0,0
1.74258827855828E+018,32092,0,,0,0,0.890657007694,0,0
1.74258827857904E+018,32093,0,,0,0,0.890657007694,0,0
1.74258827860586E+018,32094,0,,0,0,0.890657007694,0,0
1.74258827863053E+018,32095,0,,0,0,0.890657007694,0,0
1.742588278652E+018,32096,0,,0,0,0.890657007694,0,0
1.74258827867804E+018,32097,0,,0,0,0.890657007694,0,0
1.7425882787016E+018,32098,0,,0,0,0.890657007694,0,0
1.74258827872748E+018,32099,0,,0,0,0.890657007694,0,0
1.74258827875777E+018,32100,0,,0,0,0.890657007694,0,0
1.74258827877981E+018,32101,0,,0,0,0.890657007694,0,0
1.74258827880533E+018,32102,0,,0,0,0.890657007694,0,0
1.742588278829E+018,32103,0,,0.0528497360647,0,0.890657007694,0,0
1.74258827885178E+018,32104,0,,0.0981122255325,0,0.890657007694,0,0
1.74258827888281E+018,32105,0,,0.151872336864,0,0.890657007694,0,0
1.74258827890521E+018,32106,0,,0.216937169433,0,0.890657007694,0,0
1.74258827892881E+018,32107,0,,0.29898634553,0,0.890657007694,0,0
1.74258827895373E+018,32108,0,,0.340000003576,0,0.890657007694,0,0
1.74258827897652E+018,32109,0,,0.340000003576,0,0.890657007694,0,0
1.7425882790057E+018,32110,0,,0.340000003576,0,0.890657007694,0,0
1.74258827903393E+018,32111,0,,0.340000003576,0,0.890657007694,0,0
1.74258827905574E+018,32112,0,,0.340000003576,0,0.890657007694,0,0
1.74258827908361E+018,32113,0,,0.340000003576,0,0.890657007694,0,0
1.7425882791065E+018,32114,0,,0.340000003576,0,0.890657007694,0,0
1.74258827912828E+018,32115,0,,0.340000003576,0,0.890657007694,0,0
1.74258827915738E+018,32116,0,,0.340000003576,0,0.890657007694,0,0
1.74258827917799E+018,32117,0,,0.340000003576,0,0.890657007694,0,0
1.74258827920366E+018,32118,0,,0.340000003576,0,0.890657007694,0,0
1.74258827922884E+018,32119,0,,0.340000003576,0,0.890657007694,0,0
1.74258827926039E+018,32120,0,,0.340000003576,0,0.890657007694,0,0
1.74258827928573E+018,32121,0,,0.340000003576,0,0.890657007694,0,0
1.74258827930773E+018,32122,0,,0.340000003576,0,0.890657007694,0,0
1.7425882793325E+018,32123,0,,0.340000003576,0,0.890657007694,0,0
1.74258827935149E+018,32124,0,,0.340000003576,0,0.890657007694,0,0
1.74258827938378E+018,32125,0,,0.340000003576,0,0.890657007694,0,0
1.74258827941335E+018,32126,0,,0.340000003576,0,0.890657007694,0,0
1.74258827943233E+018,32127,0,,0.340000003576,0,0.890657007694,0,0
1.74258827945891E+018,32128,0,,0.340000003576,0,0.890657007694,0,0
1.74258827948351E+018,32129,0,,0.340000003576,0,0.890657007694,0,0
1.74258827950748E+018,32130,0,,0.340000003576,0,0.890657007694,0,0
1.74258827952995E+018,32131,0,,0.340000003576,0,0.890657007694,0,0
1.74258827955143E+018,32132,0,,0.340000003576,0,0.890657007694,0,0
1.74258827957795E+018,32133,0,,0.340000003576,0,0.890657007694,0,0
1.74258827960577E+018,32134,0,,0.340000003576,0,0.890657007694,0,0
1.74258827962686E+018,32135,0,,0.340000003576,0,0.890657007694,0,0
1.74258827965689E+018,32136,0,,0.340000003576,0,0.890657007694,0,0
1.74258827968147E+018,32137,0,,0.340000003576,0,0.890657007694,0,0
1.74258827970815E+018,32138,0,,0.340000003576,0,0.890657007694,0,0
1.74258827972736E+018,32139,0,,0.340000003576,0,0.890657007694,0,0
1.74258827975748E+018,32140,0,,0.340000003576,0,0.890657007694,0,0
1.74258827978147E+018,32141,0,,0.340000003576,0,0.890657007694,0,0
1.74258827980507E+018,32142,0,,0.340000003576,0,0.890657007694,0,0
1.74258827983166E+018,32143,0,,0.340000003576,0,0.890657007694,0,0
1.74258827985848E+018,32144,0,,0.245237141848,0,0.890657007694,0,0
1.74258827988063E+018,32145,0,,0.151872336864,0,0.890657007694,0,0
1.74258827990157E+018,32146,0,,0.0302184969187,0,0.890657007694,0,0
1.74258827992698E+018,32147,0,,0,0,0.890657007694,0,0
1.74258827995598E+018,32148,0,,0,0,0.890657007694,0,0
1.74258827997988E+018,32149,0,,0,0,0.890657007694,0,0
1.74258828000669E+018,32150,0,,0,0,0.890657007694,0,0
1.74258828002959E+018,32151,0,,0,0,0.890657007694,0,0
1.74258828005289E+018,32152,0,,0,0,0.890657007694,0,0
1.74258828007755E+018,32153,0,,0,0,0.890657007694,0,0
1.74258828010469E+018,32154,0,,0,0,0.890657007694,0,0
1.74258828012848E+018,32155,0,,0,0,0.890657007694,0,0
1.74258828015444E+018,32156,0,,0,0,0.890657007694,0,0
1.74258828018114E+018,32157,0,,0,0,0.890657007694,0,0
1.74258828020753E+018,32158,0,,0,0,0.890657007694,0,0
1.74258828023086E+018,32159,0,,0,0,0.890657007694,0,0
1.74258828025899E+018,32160,0,,0,0,0.890657007694,0,0
1.74258828028295E+018,32161,0,,0,0,0.890657007694,0,0
1.74258828031012E+018,32162,0,,0,0,0.890657007694,0,0
1.74258828032943E+018,32163,0,,0,0,0.890657007694,0,0
1.74258828036177E+018,32164,0,,0,0,0.890657007694,0,0
1.74258828038537E+018,32165,0,,0,0,0.890657007694,0,0
1.742588280409E+018,32166,0,,0,0,0.890657007694,0,0
1.74258828042835E+018,32167,0,,0,0,0.890657007694,0,0
1.74258828045144E+018,32168,0,,0,0,0.890657007694,0,0
1.74258828048379E+018,32169,0,,0.0387052111328,0,0.890657007694,0,0
1.7425882805019E+018,32170,0,,0.0981122255325,0,0.890657007694,0,0
1.7425882805276E+018,32171,0,,0.154701247811,0,0.890657007694,0,0
1.74258828055195E+018,32172,0,,0.222605898976,0,0.890657007694,0,0
1.74258828057771E+018,32173,0,,0.293328523636,0,0.890657007694,0,0
1.74258828060351E+018,32174,0,,0.340000003576,0,0.890657007694,0,0
1.74258828062837E+018,32175,0,,0.340000003576,0,0.890657007694,0,0
1.74258828065282E+018,32176,0,,0.340000003576,0,0.890657007694,0,0
1.74258828067682E+018,32177,0,,0.340000003576,0,0.890657007694,0,0
1.74258828070215E+018,32178,0,,0.340000003576,0,0.890657007694,0,0
1.74258828072659E+018,32179,0,,0.340000003576,0,0.890657007694,0,0
1.74258828075178E+018,32180,0,,0.340000003576,0,0.890657007694,0,0
1.74258828077664E+018,32181,0,,0.340000003576,0,0.890657007694,0,0
1.74258828080204E+018,32182,0,,0.340000003576,0,0.890657007694,0,0
1.74258828082717E+018,32183,0,,0.340000003576,0,0.890657007694,0,0
1.74258828085167E+018,32184,0,,0.340000003576,0,0.890657007694,0,0
1.74258828087745E+018,32185,0,,0.340000003576,0,0.890657007694,0,0
1.74258828090179E+018,32186,0,,0.340000003576,0,0.890657007694,0,0
1.74258828092654E+018,32187,0,,0.340000003576,0,0.890657007694,0,0
1.74258828095289E+018,32188,0,,0.340000003576,0,0.890657007694,0,0
1.74258828097997E+018,32189,0,,0.340000003576,0,0.890657007694,0,0
1.7425882810056E+018,32190,0,,0.340000003576,0,0.890657007694,0,0
1.74258828103275E+018,32191,0,,0.340000003576,0,0.890657007694,0,0
1.74258828105884E+018,32192,0,,0.340000003576,0,0.890657007694,0,0
1.74258828107853E+018,32193,0,,0.340000003576,0,0.890657007694,0,0
1.74258828110159E+018,32194,0,,0.340000003576,0,0.890657007694,0,0
1.74258828113352E+018,32195,0,,0.340000003576,0,0.890657007694,0,0
1.7425882811566E+018,32196,0,,0.340000003576,0,0.890657007694,0,0
1.74258828117691E+018,32197,0,,0.340000003576,0,0.890657007694,0,0
1.7425882812063E+018,32198,0,,0.340000003576,0,0.890657007694,0,0
1.74258828122835E+018,32199,0,,0.340000003576,0,0.890657007694,0,0
1.74258828125737E+018,32200,0,,0.340000003576,0,0.890657007694,0,0
1.74258828128453E+018,32201,0,,0.340000003576,0,0.890657007694,0,0
1.7425882813024E+018,32202,0,,0.340000003576,0,0.890657007694,0,0
